score,balls,position,out,year
33,19,4,1,2016
15,14,5,1,2016
34,21,5,1,2016
0,0,-1,0,2016
11,9,5,1,2016
6,6,2,1,2016
14,18,5,1,2016
0,1,4,1,2016
2,3,4,1,2016
1,3,4,1,2016
5,10,4,1,2016
36,13,4,1,2016
1,6,5,1,2016
1,2,5,0,2016
19,8,4,1,2016
1,1,4,0,2016
4,4,7,0,2017
0,0,-1,0,2017
3,6,6,1,2017
22,17,5,1,2017
24,24,2,1,2017
3,5,6,1,2017
14,18,5,1,2017
1,4,1,1,2017
117,57,1,0,2018
36,25,1,1,2018
16,14,1,1,2018
14,23,1,1,2018
11,14,1,1,2018
11,9,1,1,2018
9,15,1,1,2018
42,19,1,1,2018
12,11,1,1,2018
106,57,1,1,2018
57,35,1,0,2018
39,31,1,1,2018
78,40,1,1,2018
7,4,1,1,2018
0,5,1,1,2018
5,6,1,1,2019
80,59,2,1,2019
0,9,2,1,2019
10,13,2,1,2019
8,4,2,1,2019
96,53,1,1,2019
50,32,2,1,2019
26,24,1,1,2019
17,9,1,1,2019
44,26,1,0,2019
0,4,1,1,2019
7,11,2,1,2019
13,13,2,1,2019
6,7,1,1,2019
0,10,1,1,2019
5,3,1,1,2019
31,29,1,1,2019
1,6,2,1,2020
36,28,3,1,2020
14,18,1,1,2020
42,38,3,1,2020
4,5,2,1,2020
83,53,1,0,2020
8,3,3,1,2020
14,16,2,1,2020
50,40,1,1,2020
14,19,1,1,2020
33,21,2,1,2020
